ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2014,689,02/17/2014,Calendário Escolar 2014,-,"Alterada pela Portaria 2.398, de 02/06/2014",,,https://drive.ifsp.edu.br/s/85ImWPaqGFaOFXj,
2014,690,02/17/2014,Núcleo Docente Estruturante (NDE) do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Alterada pela Portaria CPV.0021/2015, de 27/03/2015",,,https://drive.ifsp.edu.br/s/0mOH7iKNzCKR7B3,Altera 1039/2013
2014,691,02/17/2014,Comissão para Elaboração do Projeto Pedagógico do Curso de Licenciatura em Química,C,extinta,,,https://drive.ifsp.edu.br/s/I7fTLTB8SevHxD2,
2014,692,02/17/2014,Comissão para Elaboração do Projeto Pedagógico do Curso Técnico em Informática Integrado ao Ensino Médio,C,extinta,,,https://drive.ifsp.edu.br/s/FNlLvJHXmeQzHmE,
2014,693,02/17/2014,Comissão para Elaboração do Projeto Pedagógico do Curso Técnico em Química Integrado ao Ensino Médio,C,extinta,,,https://drive.ifsp.edu.br/s/0DQ32Dv0clZGnMk,
2014,694,02/17/2014,Fiscais de contrato 004/2013 - Novack Comércio e Serviços Ltda - EPP (Locação de fotocopiadora),F,extinta,,,https://drive.ifsp.edu.br/s/zDrC8UE1GFFhiD6,
2014,695,02/17/2014,Fiscais de contrato 002/2013 - Telefonica Brasil S/A (Telefonia),F,"Alterada pela Portaria nº CPV.0007, de 03 de fevereiro de 2016",,,https://drive.ifsp.edu.br/s/OKT5WYloc9c9sp7,
2014,696,02/17/2014,Fiscais de contrato 003/2013 - Telefonica Brasil S/A (Internet),F,"Alterada pela Portaria nº CPV.00008/2016, de 03 de fevereiro de 2016",,,https://drive.ifsp.edu.br/s/9Vw4T7iCPSlfJVa,
2014,851,02/21/2014,Núcleo Docente Estruturante (NDE) do Curso Superior de Tecnologia em Processos Químicos,M,"Alterada pela Portaria CPV.0014/2015, de 09/03/2015",,,https://drive.ifsp.edu.br/s/Jb1PbuyuSZjSy9j,
2014,861,02/21/2014,Subcomissão Permanente de Acompanhamento da Jornada de Trabalho dos Servidores Técnico-Administrativos,C,"Alterada pela Portaria 2.157, de 16/05/2014",,,https://drive.ifsp.edu.br/s/vIk9uioDBmBA5cr,Alterar 5218/2013
2014,962,02/28/2014,Fiscais de contrato 299/11 - Pedrazul Comércio e Serviços Ltda ME (Limpeza e conservação),F,"Revogada pela Portaria nº CPV.0018/2016, de 17 de fevereiro de 2016",,,https://drive.ifsp.edu.br/s/hsrg27DuTfhj6n2,Altera 383/2012
